,Staatsforst,Privat,Summe,Fallwild allg.,Fallwild Verkehr
Rotwild,14,0,14,0,0
Damwild,16,5,21,0,0
Schwarzwild,69,73,142,1,6
"Rehwild
insgesamt",97,868,965,83,191
Bockkitze,9,56,65,9,12
Jährlinge,18,153,171,6,32
Böcke,18,163,181,11,19
Summe männlich,45,372,417,26,63
Rehkitze,16,159,175,26,23
Schmalrehe,18,161,179,14,47
Ricken,18,176,194,17,58
Summe weiblich,52,496,548,57,128
Feldhase,1,930,931,42,40
Wildkaninchen,0,667,667,9,18
Fuchs,3,340,343,6,22
Steinmarder,1,151,152,0,28
Dachs,0,14,14,0,5
Waschbär,0,0,0,0,0
Marderhund,0,4,4,0,0
Baummarder,0,2,2,1,1
Iltis,0,11,11,0,11
Hermelin,0,4,4,1,3
Mauswiesel,0,5,5,0,5
Summe,5,2128,2133,59,133
Fasan,0,666,666,11,7
Stockente,0,1485,1485,4,17
Reiherente,0,23,23,0,0
Ringeltaube,0,1062,1062,12,5
Graugans,0,185,185,0,0
Kanadagans,0,71,71,0,0
Rabenkrähe,0,840,840,3,2
Elster,0,363,363,4,5
Höckerschwan,0,17,17,0,0
Blässgans,0,0,0,0,0
Saatgans,0,0,0,0,0
Ringelgans,0,0,0,0,0
Pfeifente,0,0,0,0,0
Krickente,0,0,0,0,0
Spießente,0,0,0,0,0
Bergente,0,0,0,0,0
Tafelente,0,0,0,0,0
Samtente,0,0,0,0,0
Trauerente,0,0,0,0,0
Waldschnepfe,0,0,0,0,0
Blässhuhn,0,0,0,0,0
Lachmöwe,0,0,0,0,0
Silbermöwe,0,0,0,0,0
Sturmmöwe,0,0,0,0,0
Mantelmöwe,0,0,0,0,0
Heringsmöwe,0,0,0,0,0
Rebhuhn,0,0,0,0,0
Türkentaube,0,0,0,0,0
Summe,0,4712,4712,34,36
Jagdschutz,,,,,
wildernde Hunde,0,0,0,0,0
wildernde Katzen,0,81,81,1,14
