,Staatsforst,Privat,Summe,Fallwild Verkehr,
Rotwild,14,0,14,1,0
Damwild,17,4,21,3,1
Schwarzwild,121,109,230,0,28
Rehwild insg.,146,1062,1208,120,206
Bockkitze,20,74,94,16,16
Jährlinge,27,168,195,15,27
Böcke,31,228,259,24,39
Summe männlich,78,470,548,55,82
Rehkitze,25,179,204,17,31
Schmalrehe,18,197,215,16,37
Ricken,25,216,241,32,56
Summe weiblich,68,592,660,56,124
Feldhase,0,612,612,30,57
Wildkaninchen,0,642,642,1,11
Fuchs,7,278,285,2,19
Steinmarder,0,168,168,0,23
Dachs,0,7,7,0,1
Waschbär,0,1,1,0,0
Marderhund,0,7,7,0,1
Baummarder,0,2,2,2,0
Iltis,0,19,19,1,18
Hermelin,0,6,6,18,5
Mauswiesel,0,2,2,1,1
Summe,7,1744,1751,38,136
Fasan,0,500,500,14,9
Stockente,0,1555,1555,5,23
Reiherente,0,10,10,0,0
Ringeltaube,0,765,765,5,17
Graugans,0,204,204,1,4
Kanadagans,0,92,92,0,1
Rabenkrähe,0,751,751,1,15
Elster,0,334,334,0,12
Höckerschwan,0,13,13,0,0
Blässgans,0,0,0,0,0
Saatgans,0,0,0,0,0
Ringelgans,0,0,0,0,0
Pfeifente,0,0,0,0,0
Krickente,0,0,0,0,0
Spießente,0,0,0,0,0
Bergente,0,0,0,0,0
Tafelente,0,0,0,0,0
Samtente,0,0,0,0,0
Trauerente,0,0,0,0,0
Waldschnepfe,0,0,0,0,0
Blässhuhn,0,0,0,0,0
Lachmöwe,0,0,0,0,0
Silbermöwe,0,0,0,0,0
Sturmmöwe,0,0,0,0,0
Mantelmöwe,0,0,0,0,0
Heringsmöwe,0,0,0,0,0
Rebhuhn,0,0,0,0,0
Türkentaube,0,0,0,0,0
Summe,0,4224,4224,26,81
wildernde Hunde,0,0,0,0,0
wildernde Katzen,0,59,59,2,13
